Cell Index,Area,Diameter,Circularity,Rect X,Rect Y,Rect Width,Rect Height
1,63,8.95623,0.850862,382,2040,12,8
2,6,2.76395,0.808518,924,2008,6,6
3,14,4.22201,0.717677,677,1965,7,4
4,9,3.38514,0.796495,2670,1956,5,4
5,18,4.78731,0.832319,925,1939,7,5
6,2,1.59577,0.806145,2085,1904,4,4
7,13,4.06843,0.836301,1323,1856,5,5
8,3,1.95441,0.800106,2624,1852,3,3
9,6,2.76395,0.808518,2664,1828,6,6
10,2,1.59577,0.698132,1569,1802,3,2
11,4,2.25676,0.832319,365,1799,6,5
12,13,4.06843,0.756105,1666,1709,9,8
13,8,3.19154,0.712654,3038,1708,5,4
14,26,5.75363,0.795795,1108,1702,8,6
15,31,6.28255,0.862366,2108,1682,8,7
16,17,4.65243,0.786079,1381,1675,7,5
17,6,2.76395,0.778573,2304,1618,4,4
18,9,3.38514,0.154725,174,1615,6,15
19,26,5.75363,0.342074,164,1574,16,10
20,7,2.98541,0.264591,157,1570,8,3
21,2,1.59577,0.698132,1154,1562,3,2
22,7,2.98541,0.768939,2491,1514,6,6
23,8,3.19154,0.712654,1062,1508,5,4
24,43,7.39928,0.883223,122,1492,10,7
25,13,4.06843,0.836301,632,1470,6,4
26,19,4.91849,0.840859,1618,1382,7,5
27,44,7.48482,0.753386,2786,1227,11,7
28,22,5.29257,0.849605,2582,1194,7,5
29,5,2.52313,0.779838,2947,1184,4,3
30,14,4.22201,0.800106,219,1152,6,4
31,9,3.38514,0.725531,2004,1143,7,7
32,17,4.65243,0.807773,375,1135,9,8
33,5,2.52313,0.779838,980,1113,4,3
34,15,4.37019,0.768939,324,1096,6,5
35,6,2.76395,0.643029,358,1076,5,3
36,4,2.25676,0.832319,289,1024,6,5
37,30,6.18039,0.86325,1467,1002,8,6
38,49,7.89865,0.663715,17,990,16,12
39,1,1.12838,0.643029,2119,988,3,2
40,23,5.41152,0.720682,17,974,8,5
41,6,2.76395,0.778573,1513,956,4,4
42,35,6.67558,0.841053,1937,940,10,6
43,10,3.56825,0.806145,2149,905,7,7
44,5,2.52313,0.779838,178,863,4,3
45,2,1.59577,0.571505,1726,845,4,2
46,8,3.19154,0.819855,2681,834,4,4
47,9,3.38514,0.796495,2020,830,5,4
48,20,5.04627,0.88398,641,827,7,5
49,4,2.25676,0.539012,332,822,6,6
50,7,2.98541,0.647359,61,784,7,6
51,38,6.9558,0.796495,243,748,10,6
52,8,3.19154,0.739839,2462,736,4,5
53,13,4.06843,0.690302,2891,731,9,9
54,29,6.07651,0.788949,31,727,9,6
55,8,3.19154,0.871465,780,663,6,6
56,9,3.38514,0.832319,605,664,5,4
57,8,3.19154,0.712654,1221,629,5,4
58,30,6.18039,0.898353,2171,620,8,6
59,3,1.95441,0.808518,2065,590,3,3
60,45,7.5694,0.784645,481,580,14,12
61,5,2.52313,0.658793,2002,563,5,3
62,6,2.76395,0.808518,1344,561,6,6
63,27,5.86323,0.826402,1758,442,8,6
64,11,3.74241,0.839954,330,426,5,4
65,21,5.17088,0.864669,1529,415,9,9
66,20,5.04627,0.88398,2302,369,7,5
67,1,1.12838,0.785398,3055,337,2,2
68,1,1.12838,0.539012,2973,316,4,4
69,18,4.78731,0.832319,319,249,7,5
70,25,5.6419,0.813059,2573,201,8,5
71,30,6.18039,0.799174,550,198,9,6
72,15,4.37019,0.736311,1336,187,6,4
73,24,5.52791,0.846498,1115,177,8,5
74,31,6.28255,0.842437,699,131,9,6
75,10,3.56825,0.880337,1256,113,5,4
76,4,2.25676,0.832319,553,88,5,5
77,13,4.06843,0.803096,2319,77,8,8
78,22,5.29257,0.849605,1000,71,7,5
